
TEST CASES
case	Адрес	Стоимость заказа	Высота заказа	Длина заказа	Ширина заказа	Вес заказа	pairings
Ширина заказа	Стоимость заказа	40,1	0	1	48
Ширина заказа	Стоимость заказа	40,1	0,01	1	47
Ширина заказа	Стоимость заказа	40,1	10000	1	50
Ширина заказа	Стоимость заказа	40,1	19999,99	2	49, 131
Ширина заказа	Стоимость заказа	40,1	20000	2	44, 130
Ширина заказа	Стоимость заказа	40,1	20000,01	2	43, 167
Ширина заказа	Стоимость заказа	40,1	5000	1	46
Ширина заказа	Стоимость заказа	40,1	9999,99	2	45, 132
Ширина заказа	Стоимость заказа	40,1	10000,01	1	133
Ширина заказа	Стоимость заказа	40,1	15000	1	181
Ширина заказа	Стоимость заказа	40,1	Не заполнено	1	148
Ширина заказа	Стоимость заказа	12,5	0	1	57
Ширина заказа	Стоимость заказа	12,5	0,01	1	58
Ширина заказа	Стоимость заказа	12,5	10000	1	55
Ширина заказа	Стоимость заказа	12,5	19999,99	1	56
Ширина заказа	Стоимость заказа	12,5	20000	2	53, 134
Ширина заказа	Стоимость заказа	12,5	20000,01	2	54, 149
Ширина заказа	Стоимость заказа	12,5	5000	2	51, 150
Ширина заказа	Стоимость заказа	12,5	9999,99	3	52, 136, 137
Ширина заказа	Стоимость заказа	12,5	10000,01	1	183
Ширина заказа	Стоимость заказа	12,5	15000	1	182
Ширина заказа	Стоимость заказа	12,5	Не заполнено	2	135, 151
Ширина заказа	Стоимость заказа	24,9	0	1	66
Ширина заказа	Стоимость заказа	24,9	0,01	1	65
Ширина заказа	Стоимость заказа	24,9	10000	1	64
Ширина заказа	Стоимость заказа	24,9	19999,99	1	63
Ширина заказа	Стоимость заказа	24,9	20000	1	62
Ширина заказа	Стоимость заказа	24,9	20000,01	1	61
Ширина заказа	Стоимость заказа	24,9	5000	1	60
Ширина заказа	Стоимость заказа	24,9	9999,99	2	59, 152
Ширина заказа	Стоимость заказа	24,9	10000,01	1	68
Ширина заказа	Стоимость заказа	24,9	15000	1	67
Ширина заказа	Стоимость заказа	24,9	Не заполнено	1	69
Ширина заказа	Стоимость заказа	25	0	2	73, 78
Ширина заказа	Стоимость заказа	25	0,01	2	74, 79
Ширина заказа	Стоимость заказа	25	10000	2	75, 80
Ширина заказа	Стоимость заказа	25	19999,99	2	168, 169
Ширина заказа	Стоимость заказа	25	20000	1	170
Ширина заказа	Стоимость заказа	25	20000,01	1	76
Ширина заказа	Стоимость заказа	25	5000	1	77
Ширина заказа	Стоимость заказа	25	9999,99	2	138, 184
Ширина заказа	Стоимость заказа	25	10000,01	1	70
Ширина заказа	Стоимость заказа	25	15000	1	71
Ширина заказа	Стоимость заказа	25	Не заполнено	1	72
Ширина заказа	Стоимость заказа	25,1	0	1	90
Ширина заказа	Стоимость заказа	25,1	0,01	2	83, 89
Ширина заказа	Стоимость заказа	25,1	10000	1	92
Ширина заказа	Стоимость заказа	25,1	19999,99	1	91
Ширина заказа	Стоимость заказа	25,1	20000	1	185
Ширина заказа	Стоимость заказа	25,1	20000,01	1	85
Ширина заказа	Стоимость заказа	25,1	5000	1	86
Ширина заказа	Стоимость заказа	25,1	9999,99	1	153
Ширина заказа	Стоимость заказа	25,1	10000,01	2	82, 87
Ширина заказа	Стоимость заказа	25,1	15000	2	81, 88
Ширина заказа	Стоимость заказа	25,1	Не заполнено	2	84, 154
Ширина заказа	Стоимость заказа	32,5	0	2	139, 187
Ширина заказа	Стоимость заказа	32,5	0,01	1	140
Ширина заказа	Стоимость заказа	32,5	10000	1	99
Ширина заказа	Стоимость заказа	32,5	19999,99	1	100
Ширина заказа	Стоимость заказа	32,5	20000	1	141
Ширина заказа	Стоимость заказа	32,5	20000,01	1	155
Ширина заказа	Стоимость заказа	32,5	5000	1	96
Ширина заказа	Стоимость заказа	32,5	9999,99	1	142
Ширина заказа	Стоимость заказа	32,5	10000,01	2	94, 97
Ширина заказа	Стоимость заказа	32,5	15000	1	95
Ширина заказа	Стоимость заказа	32,5	Не заполнено	3	93, 98, 186
Ширина заказа	Стоимость заказа	Не заполнено	0	2	108, 188
Ширина заказа	Стоимость заказа	Не заполнено	0,01	1	109
Ширина заказа	Стоимость заказа	Не заполнено	10000	2	107, 189
Ширина заказа	Стоимость заказа	Не заполнено	19999,99	1	110
Ширина заказа	Стоимость заказа	Не заполнено	20000	1	157
Ширина заказа	Стоимость заказа	Не заполнено	20000,01	1	171
Ширина заказа	Стоимость заказа	Не заполнено	5000	1	106
Ширина заказа	Стоимость заказа	Не заполнено	9999,99	1	156
Ширина заказа	Стоимость заказа	Не заполнено	10000,01	2	102, 105
Ширина заказа	Стоимость заказа	Не заполнено	15000	3	101, 104, 112
Ширина заказа	Стоимость заказа	Не заполнено	Не заполнено	2	103, 111
Ширина заказа	Высота заказа	0	0	1	1
Ширина заказа	Высота заказа	0	0,1	1	2
Ширина заказа	Высота заказа	0	30	2	3, 160
Ширина заказа	Высота заказа	0	59,9	1	4
Ширина заказа	Высота заказа	0	60	1	5
Ширина заказа	Высота заказа	0	60,1	1	6
Ширина заказа	Высота заказа	0	15	3	7, 144, 172
Ширина заказа	Высота заказа	0	29,9	2	8, 115
Ширина заказа	Высота заказа	0	30,1	3	114, 143, 159
Ширина заказа	Высота заказа	0	45	2	113, 116
Ширина заказа	Высота заказа	0	Не заполнено	2	145, 158
Ширина заказа	Высота заказа	0,1	0	3	11, 120, 174
Ширина заказа	Высота заказа	0,1	0,1	1	12
Ширина заказа	Высота заказа	0,1	30	1	9
Ширина заказа	Высота заказа	0,1	59,9	2	10, 117
Ширина заказа	Высота заказа	0,1	60	1	15
Ширина заказа	Высота заказа	0,1	60,1	1	16
Ширина заказа	Высота заказа	0,1	15	2	13, 173
Ширина заказа	Высота заказа	0,1	29,9	1	14
Ширина заказа	Высота заказа	0,1	30,1	1	119
Ширина заказа	Высота заказа	0,1	45	2	161, 175
Ширина заказа	Высота заказа	0,1	Не заполнено	1	118
Ширина заказа	Высота заказа	20	0	1	20
Ширина заказа	Высота заказа	20	0,1	2	19, 121
Ширина заказа	Высота заказа	20	30	2	18, 177
Ширина заказа	Высота заказа	20	59,9	1	17
Ширина заказа	Высота заказа	20	60	2	24, 122
Ширина заказа	Высота заказа	20	60,1	1	23
Ширина заказа	Высота заказа	20	15	1	22
Ширина заказа	Высота заказа	20	29,9	2	21, 124
Ширина заказа	Высота заказа	20	30,1	1	123
Ширина заказа	Высота заказа	20	45	2	146, 176
Ширина заказа	Высота заказа	20	Не заполнено	2	162, 178
Ширина заказа	Высота заказа	39,9	0	1	26
Ширина заказа	Высота заказа	39,9	0,1	2	25, 164
Ширина заказа	Высота заказа	39,9	30	2	28, 125
Ширина заказа	Высота заказа	39,9	59,9	2	27, 126
Ширина заказа	Высота заказа	39,9	60	2	30, 128
Ширина заказа	Высота заказа	39,9	60,1	1	29
Ширина заказа	Высота заказа	39,9	15	2	32, 127
Ширина заказа	Высота заказа	39,9	29,9	1	31
Ширина заказа	Высота заказа	39,9	30,1	1	147
Ширина заказа	Высота заказа	39,9	45	1	163
Ширина заказа	Высота заказа	39,9	Не заполнено	2	165, 179
Ширина заказа	Высота заказа	40	0	1	36
Ширина заказа	Высота заказа	40	0,1	1	37
Ширина заказа	Высота заказа	40	30	1	38
Ширина заказа	Высота заказа	40	59,9	1	39
Ширина заказа	Высота заказа	40	60	1	40
Ширина заказа	Высота заказа	40	60,1	1	41
Ширина заказа	Высота заказа	40	15	2	42, 180
Ширина заказа	Высота заказа	40	29,9	1	129
Ширина заказа	Высота заказа	40	30,1	1	33
Ширина заказа	Высота заказа	40	45	2	34, 166
Ширина заказа	Высота заказа	40	Не заполнено	1	35
Ширина заказа	Высота заказа	40,1	0	2	44, 132
Ширина заказа	Высота заказа	40,1	0,1	2	49, 181
Ширина заказа	Высота заказа	40,1	30	1	50
Ширина заказа	Высота заказа	40,1	59,9	2	47, 167
Ширина заказа	Высота заказа	40,1	60	2	48, 130
Ширина заказа	Высота заказа	40,1	60,1	1	131
Ширина заказа	Высота заказа	40,1	15	1	148
Ширина заказа	Высота заказа	40,1	29,9	1	133
Ширина заказа	Высота заказа	40,1	30,1	1	45
Ширина заказа	Высота заказа	40,1	45	1	46
Ширина заказа	Высота заказа	40,1	Не заполнено	1	43
Ширина заказа	Высота заказа	12,5	0	2	51, 135
Ширина заказа	Высота заказа	12,5	0,1	3	58, 134, 183
Ширина заказа	Высота заказа	12,5	30	2	57, 137
Ширина заказа	Высота заказа	12,5	59,9	2	56, 136
Ширина заказа	Высота заказа	12,5	60	2	55, 182
Ширина заказа	Высота заказа	12,5	60,1	1	150
Ширина заказа	Высота заказа	12,5	15	1	149
Ширина заказа	Высота заказа	12,5	29,9	1	151
Ширина заказа	Высота заказа	12,5	30,1	1	54
Ширина заказа	Высота заказа	12,5	45	1	53
Ширина заказа	Высота заказа	12,5	Не заполнено	1	52
Ширина заказа	Высота заказа	24,9	0	2	61, 68
Ширина заказа	Высота заказа	24,9	0,1	1	64
Ширина заказа	Высота заказа	24,9	30	1	63
Ширина заказа	Высота заказа	24,9	59,9	1	66
Ширина заказа	Высота заказа	24,9	60	1	65
Ширина заказа	Высота заказа	24,9	60,1	1	69
Ширина заказа	Высота заказа	24,9	15	1	152
Ширина заказа	Высота заказа	24,9	29,9	1	67
Ширина заказа	Высота заказа	24,9	30,1	1	60
Ширина заказа	Высота заказа	24,9	45	1	59
Ширина заказа	Высота заказа	24,9	Не заполнено	1	62
Ширина заказа	Высота заказа	25	0	1	76
Ширина заказа	Высота заказа	25	0,1	1	77
Ширина заказа	Высота заказа	25	30	1	138
Ширина заказа	Высота заказа	25	59,9	1	184
Ширина заказа	Высота заказа	25	60	1	70
Ширина заказа	Высота заказа	25	60,1	2	71, 79
Ширина заказа	Высота заказа	25	15	2	72, 80
Ширина заказа	Высота заказа	25	29,9	2	73, 168
Ширина заказа	Высота заказа	25	30,1	2	74, 169
Ширина заказа	Высота заказа	25	45	2	75, 170
Ширина заказа	Высота заказа	25	Не заполнено	1	78
Ширина заказа	Высота заказа	25,1	0	1	86
Ширина заказа	Высота заказа	25,1	0,1	1	81
Ширина заказа	Высота заказа	25,1	30	2	85, 185
Ширина заказа	Высота заказа	25,1	59,9	1	154
Ширина заказа	Высота заказа	25,1	60	2	84, 153
Ширина заказа	Высота заказа	25,1	60,1	2	90, 92
Ширина заказа	Высота заказа	25,1	15	2	82, 89
Ширина заказа	Высота заказа	25,1	29,9	1	83
Ширина заказа	Высота заказа	25,1	30,1	1	87
Ширина заказа	Высота заказа	25,1	45	1	88
Ширина заказа	Высота заказа	25,1	Не заполнено	1	91
Ширина заказа	Высота заказа	32,5	0	1	140
Ширина заказа	Высота заказа	32,5	0,1	1	94
Ширина заказа	Высота заказа	32,5	30	1	95
Ширина заказа	Высота заказа	32,5	59,9	2	96, 186
Ширина заказа	Высота заказа	32,5	60	1	141
Ширина заказа	Высота заказа	32,5	60,1	2	155, 187
Ширина заказа	Высота заказа	32,5	15	1	142
Ширина заказа	Высота заказа	32,5	29,9	1	93
Ширина заказа	Высота заказа	32,5	30,1	2	98, 99
Ширина заказа	Высота заказа	32,5	45	2	100, 139
Ширина заказа	Высота заказа	32,5	Не заполнено	1	97
Ширина заказа	Высота заказа	Не заполнено	0	1	157
Ширина заказа	Высота заказа	Не заполнено	0,1	2	106, 156
Ширина заказа	Высота заказа	Не заполнено	30	1	105
Ширина заказа	Высота заказа	Не заполнено	59,9	1	101
Ширина заказа	Высота заказа	Не заполнено	60	2	111, 188
Ширина заказа	Высота заказа	Не заполнено	60,1	1	102
Ширина заказа	Высота заказа	Не заполнено	15	2	108, 110
Ширина заказа	Высота заказа	Не заполнено	29,9	2	107, 189
Ширина заказа	Высота заказа	Не заполнено	30,1	2	104, 171
Ширина заказа	Высота заказа	Не заполнено	45	1	103
Ширина заказа	Высота заказа	Не заполнено	Не заполнено	2	109, 112
Ширина заказа	Длина заказа	0	0	2	1, 145
Ширина заказа	Длина заказа	0	0,1	3	2, 144, 158
Ширина заказа	Длина заказа	0	20	1	3
Ширина заказа	Длина заказа	0	39,9	3	4, 114, 159
Ширина заказа	Длина заказа	0	40	2	5, 143
Ширина заказа	Длина заказа	0	40,1	1	6
Ширина заказа	Длина заказа	0	10	2	7, 116
Ширина заказа	Длина заказа	0	19,9	2	8, 172
Ширина заказа	Длина заказа	0	20,1	1	160
Ширина заказа	Длина заказа	0	30	1	113
Ширина заказа	Длина заказа	0	Не заполнено	1	115
Ширина заказа	Длина заказа	0,1	0	1	12
Ширина заказа	Длина заказа	0,1	0,1	2	11, 119
Ширина заказа	Длина заказа	0,1	20	2	10, 161
Ширина заказа	Длина заказа	0,1	39,9	1	9
Ширина заказа	Длина заказа	0,1	40	2	16, 120
Ширина заказа	Длина заказа	0,1	40,1	1	15
Ширина заказа	Длина заказа	0,1	10	1	14
Ширина заказа	Длина заказа	0,1	19,9	2	13, 118
Ширина заказа	Длина заказа	0,1	20,1	1	175
Ширина заказа	Длина заказа	0,1	30	2	117, 174
Ширина заказа	Длина заказа	0,1	Не заполнено	1	173
Ширина заказа	Длина заказа	20	0	1	18
Ширина заказа	Длина заказа	20	0,1	1	17
Ширина заказа	Длина заказа	20	20	2	20, 123
Ширина заказа	Длина заказа	20	39,9	2	19, 146
Ширина заказа	Длина заказа	20	40	1	22
Ширина заказа	Длина заказа	20	40,1	2	21, 122
Ширина заказа	Длина заказа	20	10	1	24
Ширина заказа	Длина заказа	20	19,9	2	23, 176
Ширина заказа	Длина заказа	20	20,1	1	124
Ширина заказа	Длина заказа	20	30	3	121, 162, 177
Ширина заказа	Длина заказа	20	Не заполнено	1	178
Ширина заказа	Длина заказа	39,9	0	2	27, 127
Ширина заказа	Длина заказа	39,9	0,1	1	28
Ширина заказа	Длина заказа	39,9	20	2	25, 164
Ширина заказа	Длина заказа	39,9	39,9	3	26, 128, 179
Ширина заказа	Длина заказа	39,9	40	2	31, 163
Ширина заказа	Длина заказа	39,9	40,1	1	32
Ширина заказа	Длина заказа	39,9	10	2	29, 165
Ширина заказа	Длина заказа	39,9	19,9	1	30
Ширина заказа	Длина заказа	39,9	20,1	1	126
Ширина заказа	Длина заказа	39,9	30	1	147
Ширина заказа	Длина заказа	39,9	Не заполнено	1	125
Ширина заказа	Длина заказа	40	0	1	40
Ширина заказа	Длина заказа	40	0,1	2	41, 129
Ширина заказа	Длина заказа	40	20	1	42
Ширина заказа	Длина заказа	40	39,9	1	180
Ширина заказа	Длина заказа	40	40	1	36
Ширина заказа	Длина заказа	40	40,1	2	37, 166
Ширина заказа	Длина заказа	40	10	1	38
Ширина заказа	Длина заказа	40	19,9	1	39
Ширина заказа	Длина заказа	40	20,1	1	33
Ширина заказа	Длина заказа	40	30	1	34
Ширина заказа	Длина заказа	40	Не заполнено	1	35
Ширина заказа	Длина заказа	40,1	0	2	43, 133
Ширина заказа	Длина заказа	40,1	0,1	1	48
Ширина заказа	Длина заказа	40,1	20	2	130, 148
Ширина заказа	Длина заказа	40,1	39,9	1	131
Ширина заказа	Длина заказа	40,1	40	1	47
Ширина заказа	Длина заказа	40,1	40,1	1	50
Ширина заказа	Длина заказа	40,1	10	3	49, 132, 181
Ширина заказа	Длина заказа	40,1	19,9	1	167
Ширина заказа	Длина заказа	40,1	20,1	1	46
Ширина заказа	Длина заказа	40,1	30	1	45
Ширина заказа	Длина заказа	40,1	Не заполнено	1	44
Ширина заказа	Длина заказа	12,5	0	1	53
Ширина заказа	Длина заказа	12,5	0,1	1	136
Ширина заказа	Длина заказа	12,5	20	1	55
Ширина заказа	Длина заказа	12,5	39,9	2	134, 137
Ширина заказа	Длина заказа	12,5	40	2	57, 135
Ширина заказа	Длина заказа	12,5	40,1	3	56, 150, 183
Ширина заказа	Длина заказа	12,5	10	2	151, 182
Ширина заказа	Длина заказа	12,5	19,9	1	58
Ширина заказа	Длина заказа	12,5	20,1	2	52, 149
Ширина заказа	Длина заказа	12,5	30	1	51
Ширина заказа	Длина заказа	12,5	Не заполнено	1	54
Ширина заказа	Длина заказа	24,9	0	2	60, 67
Ширина заказа	Длина заказа	24,9	0,1	1	152
Ширина заказа	Длина заказа	24,9	20	1	69
Ширина заказа	Длина заказа	24,9	39,9	1	65
Ширина заказа	Длина заказа	24,9	40	1	64
Ширина заказа	Длина заказа	24,9	40,1	1	68
Ширина заказа	Длина заказа	24,9	10	1	66
Ширина заказа	Длина заказа	24,9	19,9	1	63
Ширина заказа	Длина заказа	24,9	20,1	1	61
Ширина заказа	Длина заказа	24,9	30	1	62
Ширина заказа	Длина заказа	24,9	Не заполнено	1	59
Ширина заказа	Длина заказа	25	0	2	79, 138
Ширина заказа	Длина заказа	25	0,1	1	72
Ширина заказа	Длина заказа	25	20	3	76, 168, 184
Ширина заказа	Длина заказа	25	39,9	1	71
Ширина заказа	Длина заказа	25	40	2	70, 169
Ширина заказа	Длина заказа	25	40,1	1	78
Ширина заказа	Длина заказа	25	10	2	80, 170
Ширина заказа	Длина заказа	25	19,9	1	73
Ширина заказа	Длина заказа	25	20,1	1	74
Ширина заказа	Длина заказа	25	30	1	75
Ширина заказа	Длина заказа	25	Не заполнено	1	77
Ширина заказа	Длина заказа	25,1	0	1	154
Ширина заказа	Длина заказа	25,1	0,1	2	85, 88
Ширина заказа	Длина заказа	25,1	20	1	87
Ширина заказа	Длина заказа	25,1	39,9	1	86
Ширина заказа	Длина заказа	25,1	40	2	91, 185
Ширина заказа	Длина заказа	25,1	40,1	1	153
Ширина заказа	Длина заказа	25,1	10	1	81
Ширина заказа	Длина заказа	25,1	19,9	1	82
Ширина заказа	Длина заказа	25,1	20,1	2	84, 90
Ширина заказа	Длина заказа	25,1	30	1	83
Ширина заказа	Длина заказа	25,1	Не заполнено	2	89, 92
Ширина заказа	Длина заказа	32,5	0	1	187
Ширина заказа	Длина заказа	32,5	0,1	1	100
Ширина заказа	Длина заказа	32,5	20	1	97
Ширина заказа	Длина заказа	32,5	39,9	1	93
Ширина заказа	Длина заказа	32,5	40	1	155
Ширина заказа	Длина заказа	32,5	40,1	2	142, 186
Ширина заказа	Длина заказа	32,5	10	1	98
Ширина заказа	Длина заказа	32,5	19,9	2	99, 140
Ширина заказа	Длина заказа	32,5	20,1	1	94
Ширина заказа	Длина заказа	32,5	30	2	95, 141
Ширина заказа	Длина заказа	32,5	Не заполнено	2	96, 139
Ширина заказа	Длина заказа	Не заполнено	0	1	156
Ширина заказа	Длина заказа	Не заполнено	0,1	1	106
Ширина заказа	Длина заказа	Не заполнено	20	1	157
Ширина заказа	Длина заказа	Не заполнено	39,9	1	103
Ширина заказа	Длина заказа	Не заполнено	40	1	189
Ширина заказа	Длина заказа	Не заполнено	40,1	2	109, 171
Ширина заказа	Длина заказа	Не заполнено	10	1	188
Ширина заказа	Длина заказа	Не заполнено	19,9	1	101
Ширина заказа	Длина заказа	Не заполнено	20,1	4	105, 107, 110, 112
Ширина заказа	Длина заказа	Не заполнено	30	2	102, 108
Ширина заказа	Длина заказа	Не заполнено	Не заполнено	2	104, 111
Ширина заказа	Адрес	0	город из РФ на латинице (Novosibirsk)	2	1, 159
Ширина заказа	Адрес	0	город из РФ на кириллице (Новосибирск)	2	2, 116
Ширина заказа	Адрес	0	город не из РФ на латинице (Minsk)	3	3, 115, 144
Ширина заказа	Адрес	0	город не из РФ на кириллице (Минск)	2	4, 145
Ширина заказа	Адрес	0	Верхний регистр, любой алфавит (МОСКВА)	2	5, 160
Ширина заказа	Адрес	0	Нижний регистр, любой алфавит (almaty)	4	6, 143, 158, 172
Ширина заказа	Адрес	0	Название города через один дефис, любой алфавит (Санкт-Петербург)	3	7, 113, 114
Ширина заказа	Адрес	0	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	1	8
Ширина заказа	Адрес	0,1	город из РФ на латинице (Novosibirsk)	2	13, 119
Ширина заказа	Адрес	0,1	город из РФ на кириллице (Новосибирск)	3	14, 161, 173
Ширина заказа	Адрес	0,1	город не из РФ на латинице (Minsk)	2	15, 174
Ширина заказа	Адрес	0,1	город не из РФ на кириллице (Минск)	2	16, 118
Ширина заказа	Адрес	0,1	Верхний регистр, любой алфавит (МОСКВА)	2	9, 117
Ширина заказа	Адрес	0,1	Нижний регистр, любой алфавит (almaty)	1	10
Ширина заказа	Адрес	0,1	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	11, 175
Ширина заказа	Адрес	0,1	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	12, 120
Ширина заказа	Адрес	20	город из РФ на латинице (Novosibirsk)	2	17, 121
Ширина заказа	Адрес	20	город из РФ на кириллице (Новосибирск)	2	18, 178
Ширина заказа	Адрес	20	город не из РФ на латинице (Minsk)	2	19, 176
Ширина заказа	Адрес	20	город не из РФ на кириллице (Минск)	2	20, 177
Ширина заказа	Адрес	20	Верхний регистр, любой алфавит (МОСКВА)	2	21, 122
Ширина заказа	Адрес	20	Нижний регистр, любой алфавит (almaty)	3	22, 123, 146
Ширина заказа	Адрес	20	Название города через один дефис, любой алфавит (Санкт-Петербург)	3	23, 124, 162
Ширина заказа	Адрес	20	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	1	24
Ширина заказа	Адрес	39,9	город из РФ на латинице (Novosibirsk)	2	29, 128
Ширина заказа	Адрес	39,9	город из РФ на кириллице (Новосибирск)	2	30, 147
Ширина заказа	Адрес	39,9	город не из РФ на латинице (Minsk)	3	31, 127, 165
Ширина заказа	Адрес	39,9	город не из РФ на кириллице (Минск)	2	32, 164
Ширина заказа	Адрес	39,9	Верхний регистр, любой алфавит (МОСКВА)	2	25, 179
Ширина заказа	Адрес	39,9	Нижний регистр, любой алфавит (almaty)	3	26, 125, 126
Ширина заказа	Адрес	39,9	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	27, 163
Ширина заказа	Адрес	39,9	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	1	28
Ширина заказа	Адрес	40	город из РФ на латинице (Novosibirsk)	2	35, 166
Ширина заказа	Адрес	40	город из РФ на кириллице (Новосибирск)	1	36
Ширина заказа	Адрес	40	город не из РФ на латинице (Minsk)	2	33, 41
Ширина заказа	Адрес	40	город не из РФ на кириллице (Минск)	1	34
Ширина заказа	Адрес	40	Верхний регистр, любой алфавит (МОСКВА)	2	39, 129
Ширина заказа	Адрес	40	Нижний регистр, любой алфавит (almaty)	2	38, 40
Ширина заказа	Адрес	40	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	37, 180
Ширина заказа	Адрес	40	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	1	42
Ширина заказа	Адрес	40,1	город из РФ на латинице (Novosibirsk)	2	49, 131
Ширина заказа	Адрес	40,1	город из РФ на кириллице (Новосибирск)	2	43, 167
Ширина заказа	Адрес	40,1	город не из РФ на латинице (Minsk)	3	47, 130, 181
Ширина заказа	Адрес	40,1	город не из РФ на кириллице (Минск)	2	48, 132
Ширина заказа	Адрес	40,1	Верхний регистр, любой алфавит (МОСКВА)	1	45
Ширина заказа	Адрес	40,1	Нижний регистр, любой алфавит (almaty)	2	46, 133
Ширина заказа	Адрес	40,1	Название города через один дефис, любой алфавит (Санкт-Петербург)	1	50
Ширина заказа	Адрес	40,1	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	44, 148
Ширина заказа	Адрес	12,5	город из РФ на латинице (Novosibirsk)	2	53, 151
Ширина заказа	Адрес	12,5	город из РФ на кириллице (Новосибирск)	3	55, 135, 137
Ширина заказа	Адрес	12,5	город не из РФ на латинице (Minsk)	1	51
Ширина заказа	Адрес	12,5	город не из РФ на кириллице (Минск)	2	57, 182
Ширина заказа	Адрес	12,5	Верхний регистр, любой алфавит (МОСКВА)	2	54, 149
Ширина заказа	Адрес	12,5	Нижний регистр, любой алфавит (almaty)	1	58
Ширина заказа	Адрес	12,5	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	52, 134
Ширина заказа	Адрес	12,5	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	4	56, 136, 150, 183
Ширина заказа	Адрес	24,9	город из РФ на латинице (Novosibirsk)	2	64, 68
Ширина заказа	Адрес	24,9	город из РФ на кириллице (Новосибирск)	1	61
Ширина заказа	Адрес	24,9	город не из РФ на латинице (Minsk)	2	60, 63
Ширина заказа	Адрес	24,9	город не из РФ на кириллице (Минск)	2	59, 67
Ширина заказа	Адрес	24,9	Верхний регистр, любой алфавит (МОСКВА)	1	66
Ширина заказа	Адрес	24,9	Нижний регистр, любой алфавит (almaty)	2	62, 152
Ширина заказа	Адрес	24,9	Название города через один дефис, любой алфавит (Санкт-Петербург)	1	69
Ширина заказа	Адрес	24,9	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	1	65
Ширина заказа	Адрес	25	город из РФ на латинице (Novosibirsk)	3	71, 73, 184
Ширина заказа	Адрес	25	город из РФ на кириллице (Новосибирск)	2	77, 78
Ширина заказа	Адрес	25	город не из РФ на латинице (Minsk)	1	75
Ширина заказа	Адрес	25	город не из РФ на кириллице (Минск)	2	74, 80
Ширина заказа	Адрес	25	Верхний регистр, любой алфавит (МОСКВА)	2	72, 79
Ширина заказа	Адрес	25	Нижний регистр, любой алфавит (almaty)	1	76
Ширина заказа	Адрес	25	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	70, 168
Ширина заказа	Адрес	25	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	3	138, 169, 170
Ширина заказа	Адрес	25,1	город из РФ на латинице (Novosibirsk)	3	84, 89, 185
Ширина заказа	Адрес	25,1	город из РФ на кириллице (Новосибирск)	2	87, 90
Ширина заказа	Адрес	25,1	город не из РФ на латинице (Minsk)	2	88, 154
Ширина заказа	Адрес	25,1	город не из РФ на кириллице (Минск)	1	92
Ширина заказа	Адрес	25,1	Верхний регистр, любой алфавит (МОСКВА)	2	82, 86
Ширина заказа	Адрес	25,1	Нижний регистр, любой алфавит (almaty)	2	81, 153
Ширина заказа	Адрес	25,1	Название города через один дефис, любой алфавит (Санкт-Петербург)	1	85
Ширина заказа	Адрес	25,1	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	83, 91
Ширина заказа	Адрес	32,5	город из РФ на латинице (Novosibirsk)	2	97, 141
Ширина заказа	Адрес	32,5	город из РФ на кириллице (Новосибирск)	2	93, 186
Ширина заказа	Адрес	32,5	город не из РФ на латинице (Minsk)	2	98, 142
Ширина заказа	Адрес	32,5	город не из РФ на кириллице (Минск)	2	94, 155
Ширина заказа	Адрес	32,5	Верхний регистр, любой алфавит (МОСКВА)	2	100, 187
Ширина заказа	Адрес	32,5	Нижний регистр, любой алфавит (almaty)	1	96
Ширина заказа	Адрес	32,5	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	95, 140
Ширина заказа	Адрес	32,5	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	99, 139
Ширина заказа	Адрес	Не заполнено	город из РФ на латинице (Novosibirsk)	1	105
Ширина заказа	Адрес	Не заполнено	город из РФ на кириллице (Новосибирск)	2	101, 108
Ширина заказа	Адрес	Не заполнено	город не из РФ на латинице (Minsk)	1	109
Ширина заказа	Адрес	Не заполнено	город не из РФ на кириллице (Минск)	2	111, 171
Ширина заказа	Адрес	Не заполнено	Верхний регистр, любой алфавит (МОСКВА)	4	112, 156, 157, 189
Ширина заказа	Адрес	Не заполнено	Нижний регистр, любой алфавит (almaty)	2	106, 107
Ширина заказа	Адрес	Не заполнено	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	104, 188
Ширина заказа	Адрес	Не заполнено	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	3	102, 103, 110
Вес заказа	Стоимость заказа	0	0	1	1
Вес заказа	Стоимость заказа	0	0,01	1	9
